make,model_gen,generation,segment,year_from,year_to
FERRARI,F430,F430,SUPERCAR,2004,2009
FERRARI,458,458,SUPERCAR,2009,2015
FERRARI,456,456,COUPE,1992,2003
FERRARI,550,550,SUPERCAR,1996,2002
FERRARI,575M,575M,SUPERCAR,2002,2006
FERRARI,612,612,COUPE,2004,2011
FERRARI,599,599,SUPERCAR,2006,2012
FERRARI,CALIFORNIA,F149,ROADSTER,2008,2014
FIAT,COUPE,175,COUPE,1993,2000
FIAT,BARCHETTA,183,ROADSTER,1995,2005
FIAT,PUNTO GT,176,GTI,1993,1999
ABARTH,500,312,GTI,2008,2015
FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,1992,1996
FORD,SIERRA COSWORTH,MK2,SPORTIVE,1986,1992
FORD,PUMA,MK1,COUPE,1997,2002
FORD,RACING PUMA,MK1,GTI,1999,2000
FORD,FOCUS RS,MK1,GTI,2002,2003
FORD,FOCUS RS,MK2,GTI,2009,2011
FORD,FOCUS ST,MK2,GTI,2005,2011
FORD,FIESTA ST,MK6,GTI,2005,2008
FORD,FIESTA ST,MK7,GTI,2013,2017
HONDA,S2000,AP1_AP2,ROADSTER,1999,2009
HONDA,NSX,NA1_NA2,SUPERCAR,1990,2005
HONDA,INTEGRA TYPE R,DC2,GTI,1995,2001
HONDA,INTEGRA TYPE R,DC5,GTI,2001,2006
HONDA,CIVIC TYPE R,EK9,GTI,1997,2000
HONDA,CIVIC TYPE R,EP3,GTI,2001,2005
HONDA,CIVIC TYPE R,FN2,GTI,2007,2011
HONDA,CRX,ED9_EE8,COUPE,1987,1992
HONDA,CRX DEL SOL,EG,ROADSTER,1992,1998
HONDA,PRELUDE,BB,COUPE,1992,2001
HONDA,ACCORD TYPE R,CH1,GTI,1998,2002
JAGUAR,XJS,XJS,COUPE,1975,1996
JAGUAR,XK,X100,COUPE,1996,2006
JAGUAR,XK,X150,COUPE,2006,2014
JAGUAR,XJ,X300_X308,PREMIUM,1994,2003
JAGUAR,S-TYPE R,X200,PREMIUM,2002,2008
JAGUAR,F-TYPE,X152,SPORTIVE,2013,2020
LANCIA,DELTA INTEGRALE,831,SPORTIVE,1987,1994
LANCIA,THEMA 8.32,Y9,PREMIUM,1986,1992
LEXUS,IS-F,XE20,SPORTIVE,2007,2014
LEXUS,SC430,Z40,ROADSTER,2001,2010
LEXUS,LS400,XF10_XF20,PREMIUM,1990,2000
LOTUS,ELISE,S1,SPORTIVE,1996,2001
LOTUS,ELISE,S2,SPORTIVE,2001,2011
LOTUS,EXIGE,S1,SPORTIVE,2000,2001
LOTUS,EXIGE,S2,SPORTIVE,2004,2011
LOTUS,ESPRIT,X180_S4,SUPERCAR,1987,2004
LOTUS,EVORA,122,SPORTIVE,2009,2021
MASERATI,3200 GT,338,COUPE,1998,2002
MASERATI,4200,M138,COUPE,2001,2007
MASERATI,GRANTURISMO,M145,COUPE,2007,2019
MASERATI,QUATTROPORTE,M139,PREMIUM,2003,2012
MASERATI,GHIBLI,II,COUPE,1992,1998
MAZDA,MX-5,NA,ROADSTER,1989,1997
MAZDA,MX-5,NB,ROADSTER,1998,2005
MAZDA,MX-5,NC,ROADSTER,2005,2015
MAZDA,RX-7,FD,SPORTIVE,1992,2002
MAZDA,RX-8,SE3P,COUPE,2003,2012
MAZDA,MX-3,EC,COUPE,1991,1998
MERCEDES-BENZ,190E 2.5-16,W201,SPORTIVE,1988,1993
MERCEDES-BENZ,C36_C43 AMG,W202,SPORTIVE,1994,2000
MERCEDES-BENZ,C55 AMG,W203,SPORTIVE,2004,2007
MERCEDES-BENZ,C63 AMG,W204,SPORTIVE,2008,2014
MERCEDES-BENZ,E55 AMG,W210,SPORTIVE,1997,2002
MERCEDES-BENZ,E55 AMG,W211,SPORTIVE,2002,2006
MERCEDES-BENZ,E63 AMG,W212,SPORTIVE,2009,2016
MERCEDES-BENZ,SL,R129,ROADSTER,1989,2001
MERCEDES-BENZ,SL,R230,ROADSTER,2001,2011
MERCEDES-BENZ,SLK,R170,ROADSTER,1996,2004
MERCEDES-BENZ,SLK,R171,ROADSTER,2004,2011
MERCEDES-BENZ,CLK,C208,COUPE,1997,2003
MERCEDES-BENZ,CLK,C209,COUPE,2002,2010
MERCEDES-BENZ,SLS AMG,C197,SUPERCAR,2010,2014
MERCEDES-BENZ,SLR MCLAREN,C199,SUPERCAR,2003,2010
MERCEDES-BENZ,CL,C140,COUPE,1992,1999
MERCEDES-BENZ,CL,C215,COUPE,1999,2006
MERCEDES-BENZ,CL,C216,COUPE,2006,2014
MERCEDES-BENZ,S-CLASS,W140,PREMIUM,1991,1998
MERCEDES-BENZ,S-CLASS,W220,PREMIUM,1998,2005
MERCEDES-BENZ,S-CLASS,W221,PREMIUM,2005,2013
MG,MGF,MGF,ROADSTER,1995,2002
MG,TF,TF,ROADSTER,2002,2011
MG,RV8,RV8,ROADSTER,1992,1995
MINI,COOPER S,R53,GTI,2002,2006
MINI,COOPER S,R56,GTI,2006,2013
MITSUBISHI,LANCER EVOLUTION,V_VI,SPORTIVE,1998,2001
MITSUBISHI,LANCER EVOLUTION,VII_IX,SPORTIVE,2001,2007
MITSUBISHI,LANCER EVOLUTION,X,SPORTIVE,2008,2016
MITSUBISHI,3000GT,Z16A,COUPE,1990,2000
MITSUBISHI,FTO,DE,COUPE,1994,2000
MITSUBISHI,ECLIPSE,1G_2G,COUPE,1990,1999
NISSAN,SKYLINE GT-R,R32,SPORTIVE,1989,1994
NISSAN,SKYLINE GT-R,R33,SPORTIVE,1995,1998
NISSAN,SKYLINE GT-R,R34,SPORTIVE,1999,2002
NISSAN,GT-R,R35,SUPERCAR,2007,2022
NISSAN,300ZX,Z32,SPORTIVE,1989,2000
NISSAN,350Z,Z33,SPORTIVE,2002,2009
NISSAN,370Z,Z34,SPORTIVE,2009,2020
NISSAN,200SX,S13,COUPE,1988,1993
NISSAN,200SX,S14,COUPE,1994,1999
NISSAN,SUNNY GTI-R,N14,GTI,1990,1994
OPEL,CALIBRA,A,COUPE,1989,1997
OPEL,ASTRA OPC,G,GTI,1998,2004
OPEL,ASTRA OPC,H,GTI,2005,2010
OPEL,CORSA VXR,D,GTI,2007,2014
OPEL,VX220,VX220,ROADSTER,2000,2005
OPEL,MONARO,V2,SPORTIVE,2004,2009
OPEL,LOTUS CARLTON,A,SPORTIVE,1990,1992
PEUGEOT,205 GTI,MK1,GTI,1984,1994
PEUGEOT,309 GTI,MK1,GTI,1987,1993
PEUGEOT,106 RALLYE,S1,GTI,1993,1996
PEUGEOT,106 RALLYE,S2,GTI,1997,2003
PEUGEOT,306 S16,MK1,GTI,1993,1996
PEUGEOT,306 GTI-6,MK2,GTI,1997,2001
PEUGEOT,206 GTI,MK1,GTI,1999,2006
PEUGEOT,406 COUPE,MK1,COUPE,1997,2004
PEUGEOT,RCZ,MK1,COUPE,2010,2015
PEUGEOT,208 GTI,MK1,GTI,2013,2018
PORSCHE,911,964,SPORTIVE,1989,1994
PORSCHE,911,993,SPORTIVE,1995,1998
PORSCHE,911,996,SPORTIVE,1999,2004
PORSCHE,911,997,SPORTIVE,2005,2012
PORSCHE,911,991,SPORTIVE,2013,2019
PORSCHE,928,928,COUPE,1978,1995
PORSCHE,944,944,COUPE,1982,1991
PORSCHE,968,968,COUPE,1992,1995
PORSCHE,BOXSTER,986,ROADSTER,1996,2004
PORSCHE,BOXSTER,987,ROADSTER,2005,2012
PORSCHE,BOXSTER,981,ROADSTER,2013,2016
PORSCHE,CAYMAN,987,COUPE,2006,2012
PORSCHE,CAYMAN,981,COUPE,2013,2016
PORSCHE,CARRERA GT,980,SUPERCAR,2003,2006
RENAULT,CLIO WILLIAMS,MK1,GTI,1993,1996
RENAULT,CLIO 16V,MK1,GTI,1991,1996
RENAULT,CLIO RS,MK2,GTI,2000,2005
RENAULT,CLIO RS,MK3,GTI,2006,2012
RENAULT,CLIO V6,MK2,SPORTIVE,2001,2005
RENAULT,MEGANE RS,MK2,GTI,2004,2009
RENAULT,MEGANE RS,MK3,GTI,2010,2016
RENAULT,SPIDER,SPIDER,ROADSTER,1996,1999
RENAULT,5 GT TURBO,MK2,GTI,1985,1991
RENAULT,19 16V,MK1,GTI,1990,1996
RENAULT,TWINGO RS,MK2,GTI,2008,2013
RENAULT,AVANTIME,MK1,COUPE,2001,2003
SAAB,900 TURBO,CLASSIC,COUPE,1979,1993
SAAB,9-3 VIGGEN,MK1,SPORTIVE,1999,2002
SEAT,IBIZA CUPRA,6K,GTI,1996,2002
SEAT,IBIZA CUPRA,6L,GTI,2004,2008
SEAT,LEON CUPRA,1M,GTI,1999,2005
SEAT,LEON CUPRA,1P,GTI,2006,2012
SKODA,OCTAVIA VRS,1U,GTI,2001,2005
SKODA,OCTAVIA VRS,1Z,GTI,2005,2013
SMART,ROADSTER,452,ROADSTER,2003,2005
SUBARU,IMPREZA WRX,GC8,SPORTIVE,1992,2000
SUBARU,IMPREZA WRX,GD,SPORTIVE,2000,2007
SUBARU,IMPREZA WRX,GR,SPORTIVE,2008,2014
SUBARU,BRZ,ZC6,COUPE,2012,2020
SUZUKI,CAPPUCCINO,EA11R,ROADSTER,1991,1998
SUZUKI,SWIFT SPORT,ZC31,GTI,2005,2011
TOYOTA,SUPRA,A70,SPORTIVE,1986,1992
TOYOTA,SUPRA,A80,SPORTIVE,1993,2002
TOYOTA,MR2,SW20,SPORTIVE,1989,1999
TOYOTA,MR2,ZZW30,ROADSTER,2000,2007
TOYOTA,CELICA,T200,COUPE,1993,1999
TOYOTA,CELICA,T230,COUPE,1999,2006
TOYOTA,CELICA GT-FOUR,ST185_ST205,SPORTIVE,1989,1999
TOYOTA,GT86,ZN6,COUPE,2012,2021
TVR,CHIMAERA,CHIMAERA,ROADSTER,1992,2003
TVR,GRIFFITH,GRIFFITH,ROADSTER,1991,2002
TVR,CERBERA,CERBERA,COUPE,1996,2006
TVR,TUSCAN,TUSCAN,SPORTIVE,1999,2006
TVR,SAGARIS,SAGARIS,SPORTIVE,2005,2006
VOLKSWAGEN,GOLF GTI,MK2,GTI,1984,1991
VOLKSWAGEN,GOLF GTI,MK3,GTI,1992,1997
VOLKSWAGEN,GOLF GTI,MK4,GTI,1998,2003
VOLKSWAGEN,GOLF GTI,MK5,GTI,2004,2008
VOLKSWAGEN,GOLF GTI,MK6,GTI,2009,2012
VOLKSWAGEN,GOLF GTI,MK7,GTI,2013,2020
VOLKSWAGEN,GOLF R,MK4,SPORTIVE,2002,2004
VOLKSWAGEN,GOLF R,MK5,SPORTIVE,2005,2008
VOLKSWAGEN,GOLF R,MK6,SPORTIVE,2009,2012
VOLKSWAGEN,CORRADO,53I,COUPE,1988,1995
VOLKSWAGEN,POLO GTI,6N,GTI,1998,2001
VOLKSWAGEN,POLO GTI,9N,GTI,2005,2009
VOLKSWAGEN,POLO GTI,6R,GTI,2010,2014
VOLKSWAGEN,SCIROCCO,MK3,COUPE,2008,2017
VOLKSWAGEN,LUPO GTI,6X,GTI,2000,2005
VOLKSWAGEN,PHAETON,3D,PREMIUM,2002,2016
VOLVO,850 R,854,SPORTIVE,1995,1997
VOLVO,C70,I,COUPE,1997,2005
VOLVO,S60 R,P2,SPORTIVE,2003,2007
VOLVO,480,480,COUPE,1986,1995
