make,model_raw_regex,year_from,year_to,model_gen,generation
BMW,^8[0-9][0-9][A-Z]*\b|^8 SERIES,2018,2025,8 SERIES,G15
BMW,^6[0-9][0-9][A-Z]*\b|^6 SERIES|^M6\b,1976,1989,6 SERIES,E24
BMW,^6[0-9][0-9][A-Z]*\b|^6 SERIES|^M6\b,2003,2010,6 SERIES,E63
BMW,^6[0-9][0-9][A-Z]*\b|^6 SERIES|^M6\b,2011,2018,6 SERIES,F12
BMW,^1(?!35I)[0-9][0-9][A-Z]*\b|^1 SERIES,,,1 SERIES,
BMW,^2[0-9][0-9][A-Z]*\b|^2 SERIES|^M2\b,,,2 SERIES,
BMW,^3[0-9][0-9][A-Z]*\b|^3 SERIES|^M3[0-9],,,3 SERIES,
BMW,^4[0-9][0-9][A-Z]*\b|^4 SERIES|^M4\b,,,4 SERIES,
BMW,^5[0-9][0-9][A-Z]*\b|^5 SERIES|^M5[0-9],,,5 SERIES,
BMW,^7[0-9][0-9][A-Z]*\b|^7 SERIES,,,7 SERIES,
BMW,^X[1-7]\b,,,X,
BMW,^I[38]\b,,,I,
CATERHAM,^(SUPER ?)?SEVEN|^7\b|^CSR|^R[35]00|^ROADSPORT|^SUPERLIGHT|^ACADEMY|^(270|310|360|420|620)\b,,,SEVEN,SEVEN
CITROEN,^SAXO.*(VTS|VTR),,,SAXO VTS,S0
CITROEN,^SAXO(?!.*(VTS|VTR)),,,SAXO,
CITROEN,^XSARA.*(VTS|VTR),,,XSARA VTS,N0
CITROEN,^XSARA(?!.*(VTS|VTR)),,,XSARA,
CITROEN,^C2.*(VTS|VTR),,,C2 VTS,A6
CITROEN,^C2(?!.*(VTS|VTR)),,,C2,
CITROEN,^DS ?3.*RACING,,,DS3 RACING,A55
CITROEN,^DS ?3(?!.*RACING),,,DS3,
CITROEN,^DS ?[45]\b,,,DS,
CITROEN,^C1\b,,,C1,
CITROEN,^C3\b,,,C3,
CITROEN,^C4\b,,,C4,
CITROEN,^C5\b,,,C5,
CITROEN,^C6\b,,,C6,
CITROEN,^C8\b,,,C8,
CITROEN,^C-?CROSSER,,,C-CROSSER,
CITROEN,^C-?ZERO,,,C-ZERO,
CITROEN,^(BERLINGO|DISPATCH|JUMPY|NEMO|RELAY|JUMPER|C15|C25|SPACETOURER),,,VAN,
CITROEN,^(AX|BX|ZX|XM|XANTIA|SYNERGIE|EVASION|VISA|CX|GS|2CV|DYANE)\b,,,LEGACY,
FERRARI,^348,,,348,348
FERRARI,^(F ?)?355,,,F355,F355
FERRARI,^360,,,360,360
FERRARI,^(F ?)?430,,,F430,F430
FERRARI,^458,,,458,458
FERRARI,^456,,,456,456
FERRARI,^550,,,550,550
FERRARI,^575,,,575M,575M
FERRARI,^612,,,612,612
FERRARI,^599,,,599,599
FERRARI,^CALIFORNIA,,,CALIFORNIA,F149
FERRARI,^(488|F12|FF\b|812|PORTOFINO|ROMA|LAFERRARI|ENZO|F40|F50|TESTAROSSA|512|328|308|MONDIAL|GTC4|SF90|296|PUROSANGUE|400|412|DINO|F8|F ?149|246)\b,,,OTHER,
FIAT,^COUPE,,,COUPE,175
FIAT,^BARCHETTA,,,BARCHETTA,183
FIAT,^PUNTO.*(GT\b|TURBO),,,PUNTO GT,176
FIAT,^(GRANDE )?PUNTO(?!.*(GT\b|TURBO)),,,PUNTO,
FIAT,^500.*ABARTH,,,500 ABARTH,
FIAT,^500(?!.*ABARTH),,,500,
FIAT,^124,,,124 SPIDER,
FIAT,^(PANDA|BRAVO|BRAVA|STILO|TIPO|DOBLO|MULTIPLA|SEICENTO|CINQUECENTO|UNO|MAREA|CROMA|SEDICI|QUBO|DUCATO|SCUDO|FIORINO|IDEA|ULYSSE|TEMPRA|REGATA|STRADA|FULLBACK|TALENTO)\b,,,OTHER,
ABARTH,^(500|595|695)\b,,,500,312
ABARTH,^(124|PUNTO|GRANDE PUNTO)\b,,,OTHER,
FORD,^ESCORT.*(COSWORTH|RS ?COS),,,ESCORT RS COSWORTH,MK5
FORD,^ESCORT(?!.*(COSWORTH|RS ?COS)),,,ESCORT,
FORD,^SIERRA.*COSWORTH,,,SIERRA COSWORTH,MK2
FORD,^SIERRA(?!.*COSWORTH),,,SIERRA,
FORD,^RACING PUMA|^PUMA.*RACING,,,RACING PUMA,MK1
FORD,^PUMA(?!.*RACING),1997,2002,PUMA,MK1
FORD,^PUMA(?!.*RACING),2019,2025,PUMA,MK2
FORD,^FOCUS.*\bRS\b,2002,2003,FOCUS RS,MK1
FORD,^FOCUS.*\bRS\b,2009,2011,FOCUS RS,MK2
FORD,^FOCUS.*\bRS\b,2016,2018,FOCUS RS,MK3
FORD,^FOCUS.*\bST[0-9]*\b,2002,2004,FOCUS ST,MK1
FORD,^FOCUS.*\bST[0-9]*\b,2005,2011,FOCUS ST,MK2
FORD,^FOCUS.*\bST[0-9]*\b,2012,2018,FOCUS ST,MK3
FORD,^FOCUS.*\bST[0-9]*\b,2019,2025,FOCUS ST,MK4
FORD,^FOCUS(?!.*\b(RS|ST[0-9]*)\b),,,FOCUS,
FORD,^FIESTA.*\bST\b,2005,2008,FIESTA ST,MK6
FORD,^FIESTA.*\bST\b,2013,2017,FIESTA ST,MK7
FORD,^FIESTA.*\bST\b,2018,2023,FIESTA ST,MK8
FORD,^FIESTA(?!.*\bST\b),,,FIESTA,
FORD,^(MONDEO|KA\b|KUGA|C-?MAX|S-?MAX|GALAXY|B-?MAX|ECOSPORT|EDGE|MUSTANG|TRANSIT|TOURNEO|RANGER|FUSION|COUGAR|SCORPIO|GRANADA|ORION|CAPRI|PROBE|MAVERICK|EXPLORER|STREETKA|KA\+|THUNDERBIRD),,,OTHER,
HONDA,^S ?2000,,,S2000,AP1_AP2
HONDA,^NSX,1990,2005,NSX,NA1_NA2
HONDA,^NSX,2016,2022,NSX,NC1
HONDA,^INTEGRA.*TYPE ?R,1995,2000,INTEGRA TYPE R,DC2
HONDA,^INTEGRA.*TYPE ?R,2001,2006,INTEGRA TYPE R,DC5
HONDA,^INTEGRA(?!.*TYPE ?R),,,INTEGRA,
HONDA,^CIVIC.*TYPE ?R,1997,2000,CIVIC TYPE R,EK9
HONDA,^CIVIC.*TYPE ?R,2001,2005,CIVIC TYPE R,EP3
HONDA,^CIVIC.*TYPE ?R,2007,2011,CIVIC TYPE R,FN2
HONDA,^CIVIC.*TYPE ?R,2015,2016,CIVIC TYPE R,FK2
HONDA,^CIVIC.*TYPE ?R,2017,2021,CIVIC TYPE R,FK8
HONDA,^CIVIC(?!.*TYPE ?R),,,CIVIC,
HONDA,^CR-?X.*DEL SOL|^DEL SOL,,,CRX DEL SOL,EG
HONDA,^CR-?X(?!.*DEL SOL),,,CRX,ED9_EE8
HONDA,^PRELUDE,1978,1991,PRELUDE,BA
HONDA,^PRELUDE,1992,2001,PRELUDE,BB
HONDA,^ACCORD.*TYPE ?R,,,ACCORD TYPE R,CH1
HONDA,^ACCORD(?!.*TYPE ?R),,,ACCORD,
HONDA,^(JAZZ|CR-?V|HR-?V|FR-?V|INSIGHT|LEGEND|STREAM|SHUTTLE|LOGO|CONCERTO|CR-?Z|E\b|ZR-?V|NSX)\b,,,OTHER,
JAGUAR,^XJ-?S,,,XJS,XJS
JAGUAR,^XK,1996,2005,XK,X100
JAGUAR,^XK,2006,2014,XK,X150
JAGUAR,^XJ(?!-?S),1986,1993,XJ,XJ40
JAGUAR,^XJ(?!-?S),1994,2002,XJ,X300_X308
JAGUAR,^XJ(?!-?S),2003,2009,XJ,X350
JAGUAR,^XJ(?!-?S),2010,2019,XJ,X351
JAGUAR,^S-?TYPE.*\bR\b,,,S-TYPE R,X200
JAGUAR,^S-?TYPE(?!.*\bR\b),,,S-TYPE,
JAGUAR,^F-?TYPE,,,F-TYPE,X152
JAGUAR,^(X-?TYPE|XF|XE|F-?PACE|E-?PACE|I-?PACE|SOVEREIGN|DAIMLER)\b,,,OTHER,
LANCIA,^DELTA.*(INTEGRALE|HF),,,DELTA INTEGRALE,831
LANCIA,^DELTA(?!.*(INTEGRALE|HF)),,,DELTA,
LANCIA,^THEMA.*8\.?32,,,THEMA 8.32,Y9
LANCIA,^THEMA(?!.*8\.?32),,,THEMA,
LANCIA,^(Y(PSILON)?\b|MUSA|PHEDRA|ZETA|KAPPA|DEDRA|LYBRA|VOYAGER|FLAVIA|BETA|MONTECARLO|FULVIA|STRATOS|PRISMA|GAMMA),,,OTHER,
LEXUS,^IS-? ?F\b,,,IS-F,XE20
LEXUS,^IS(?!-? ?F\b),,,IS,
LEXUS,^SC ?430,,,SC430,Z40
LEXUS,^SC ?[34]00,,,SC,Z30
LEXUS,^LS ?400,,,LS400,XF10_XF20
LEXUS,^LS(?! ?400),,,LS,
LEXUS,^(GS|RX|CT|NX|ES|UX|LC|RC|LX|GX)\b,,,OTHER,
LOTUS,^ELISE,1996,2000,ELISE,S1
LOTUS,^ELISE,2001,2010,ELISE,S2
LOTUS,^ELISE,2011,2021,ELISE,S3
LOTUS,^EXIGE,2000,2001,EXIGE,S1
LOTUS,^EXIGE,2004,2011,EXIGE,S2
LOTUS,^EXIGE,2012,2021,EXIGE,S3
LOTUS,^ESPRIT,1976,1986,ESPRIT,S1_S3
LOTUS,^ESPRIT,1987,2004,ESPRIT,X180_S4
LOTUS,^EVORA,,,EVORA,122
LOTUS,^(ELAN|EXCEL|EUROPA|2-?ELEVEN|340R|EMIRA|EVIJA|ELETRE|ECLAT|CARLTON),,,OTHER,
MASERATI,^3200,,,3200 GT,338
MASERATI,^(4200|COUPE|SPYDER|GRANSPORT)\b,,,4200,M138
MASERATI,^GRAN ?(TURISMO|CABRIO),,,GRANTURISMO,M145
MASERATI,^QUATTROPORTE,1994,2001,QUATTROPORTE,IV
MASERATI,^QUATTROPORTE,2003,2012,QUATTROPORTE,M139
MASERATI,^QUATTROPORTE,2013,2023,QUATTROPORTE,M156
MASERATI,^GHIBLI,1992,1998,GHIBLI,II
MASERATI,^GHIBLI,2013,2023,GHIBLI,M157
MASERATI,^(LEVANTE|GRECALE|MC20|MC12|BITURBO|222|224|228|430|SHAMAL|KARIF|MC\b|BORA|MERAK|KHAMSIN|INDY),,,OTHER,
MAZDA,^MX-? ?5,1989,1997,MX-5,NA
MAZDA,^MX-? ?5,1998,2005,MX-5,NB
MAZDA,^MX-? ?5,2006,2015,MX-5,NC
MAZDA,^MX-? ?5,2016,2025,MX-5,ND
MAZDA,^RX-? ?7,1985,1991,RX-7,FC
MAZDA,^RX-? ?7,1992,2002,RX-7,FD
MAZDA,^RX-? ?8,,,RX-8,SE3P
MAZDA,^MX-? ?3,,,MX-3,EC
MAZDA,^MX-? ?6,,,MX-6,
MAZDA,^(MAZDA ?)?2\b,,,2,
MAZDA,^(MAZDA ?)?3\b,,,3,
MAZDA,^(MAZDA ?)?5\b,,,5,
MAZDA,^(MAZDA ?)?6\b,,,6,
MAZDA,^CX-?[0-9],,,CX,
MAZDA,^(323|626|121|DEMIO|PREMACY|TRIBUTE|BONGO|XEDOS|MPV|MX-?30|BT-?50|B ?2500|E ?2000)\b,,,OTHER,
MERCEDES-BENZ,^190 ?E? ?2\.5-? ?16,,,190E 2.5-16,W201
MERCEDES-BENZ,^190(?!.*2\.5-? ?16),,,190,
MERCEDES-BENZ,^C ?(36|43)\b,1994,2000,C36_C43 AMG,W202
MERCEDES-BENZ,^C ?43\b,2016,2022,C43 AMG,W205
MERCEDES-BENZ,^C ?55\b,,,C55 AMG,W203
MERCEDES-BENZ,^C ?63\b,2008,2014,C63 AMG,W204
MERCEDES-BENZ,^C ?63\b,2015,2022,C63 AMG,W205
MERCEDES-BENZ,^E ?55\b,1997,2002,E55 AMG,W210
MERCEDES-BENZ,^E ?55\b,2003,2006,E55 AMG,W211
MERCEDES-BENZ,^E ?63\b,2009,2016,E63 AMG,W212
MERCEDES-BENZ,^E ?63\b,2017,2023,E63 AMG,W213
MERCEDES-BENZ,^SL ?[0-9],1971,1988,SL,R107
MERCEDES-BENZ,^SL ?[0-9],1989,2001,SL,R129
MERCEDES-BENZ,^SL ?[0-9],2002,2011,SL,R230
MERCEDES-BENZ,^SL ?[0-9],2012,2020,SL,R231
MERCEDES-BENZ,^SLK,1996,2003,SLK,R170
MERCEDES-BENZ,^SLK,2004,2010,SLK,R171
MERCEDES-BENZ,^SLK,2011,2019,SLK,R172
MERCEDES-BENZ,^SLC,,,SLK,R172
MERCEDES-BENZ,^CLK,1997,2002,CLK,C208
MERCEDES-BENZ,^CLK,2003,2010,CLK,C209
MERCEDES-BENZ,^SLS,,,SLS AMG,C197
MERCEDES-BENZ,^SLR,,,SLR MCLAREN,C199
MERCEDES-BENZ,^CL ?[0-9],1992,1998,CL,C140
MERCEDES-BENZ,^CL ?[0-9],1999,2006,CL,C215
MERCEDES-BENZ,^CL ?[0-9],2007,2014,CL,C216
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,1979,1990,S-CLASS,W126
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,1991,1998,S-CLASS,W140
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,1999,2005,S-CLASS,W220
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,2006,2013,S-CLASS,W221
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,2014,2020,S-CLASS,W222
MERCEDES-BENZ,^S ?[0-9][0-9][0-9]\b,2021,2025,S-CLASS,W223
MERCEDES-BENZ,^C ?[0-9][0-9][0-9]\b,,,C-CLASS,
MERCEDES-BENZ,^E ?[0-9][0-9][0-9]\b,,,E-CLASS,
MERCEDES-BENZ,^A ?[0-9][0-9][0-9]\b,,,A-CLASS,
MERCEDES-BENZ,^B ?[0-9][0-9][0-9]\b,,,B-CLASS,
MERCEDES-BENZ,^CLA,,,CLA,
MERCEDES-BENZ,^CLS,,,CLS,
MERCEDES-BENZ,^CLC,,,CLC,
MERCEDES-BENZ,^GL[ABCEKS]?\b|^GL ?[0-9],,,GL,
MERCEDES-BENZ,^ML ?[0-9]|^M-? ?CLASS,,,ML,
MERCEDES-BENZ,^G ?[0-9][0-9][0-9]\b|^G-? ?CLASS|^G ?WAGON,,,G-CLASS,
MERCEDES-BENZ,^R ?[0-9][0-9][0-9]\b,,,R-CLASS,
MERCEDES-BENZ,^(V ?[0-9][0-9][0-9]|VITO|VIANO|SPRINTER|CITAN|EQ[A-Z]|X ?[0-9][0-9][0-9]|AMG GT|GT\b|MARCO POLO)\b,,,OTHER,
MERCEDES-BENZ,^(200|230|250|260|280|300|320|400|420|500|560|600)\b,,,LEGACY NUMERIC,
MG,^MG ?F\b|^MGF,,,MGF,MGF
MG,^TF\b|^MG ?TF,,,TF,TF
MG,^RV ?8|^MG ?RV ?8,,,RV8,RV8
MG,^(ZR|ZS|ZT|MG ?[3-7]|HS|MGB|MIDGET|METRO|MAESTRO|MONTEGO|MG ?ZS|EHS|MARVEL|MG4|MG5)\b,,,OTHER,
MINI,^(MINI )?COOPER ?S\b|^JOHN COOPER WORKS|^JCW,2002,2006,COOPER S,R53
MINI,^(MINI )?COOPER ?S\b|^JOHN COOPER WORKS|^JCW,2007,2013,COOPER S,R56
MINI,^(MINI )?COOPER ?S\b|^JOHN COOPER WORKS|^JCW,2014,2023,COOPER S,F56
MINI,^(MINI )?COOPER(?! ?S\b),,,COOPER,
MINI,^(MINI )?ONE\b,,,ONE,
MINI,^(MINI )?(CLUBMAN|COUNTRYMAN|PACEMAN|ROADSTER|COUPE|CONVERTIBLE|CABRIO|HATCH|ELECTRIC|ACEMAN),,,OTHER,
MITSUBISHI,^LANCER.*(EVO|EVOLUTION)|^EVO(LUTION)?\b,1992,1997,LANCER EVOLUTION,I_IV
MITSUBISHI,^LANCER.*(EVO|EVOLUTION)|^EVO(LUTION)?\b,1998,2000,LANCER EVOLUTION,V_VI
MITSUBISHI,^LANCER.*(EVO|EVOLUTION)|^EVO(LUTION)?\b,2001,2007,LANCER EVOLUTION,VII_IX
MITSUBISHI,^LANCER.*(EVO|EVOLUTION)|^EVO(LUTION)?\b,2008,2016,LANCER EVOLUTION,X
MITSUBISHI,^LANCER(?!.*(EVO|EVOLUTION)),,,LANCER,
MITSUBISHI,^3000 ?GT|^GTO\b,,,3000GT,Z16A
MITSUBISHI,^FTO,,,FTO,DE
MITSUBISHI,^ECLIPSE(?! ?CROSS),,,ECLIPSE,1G_2G
MITSUBISHI,^ECLIPSE ?CROSS,,,ECLIPSE CROSS,
MITSUBISHI,^(COLT|OUTLANDER|ASX|SHOGUN|PAJERO|L ?200|SPACE ?(STAR|WAGON|RUNNER|GEAR)|GALANT|CARISMA|GRANDIS|I-?MIEV|MIRAGE|L ?300|L ?400|SIGMA|CHALLENGER|SAPPORO|STARION|CORDIA|TREDIA),,,OTHER,
NISSAN,^SKYLINE.*GT-?R,1989,1994,SKYLINE GT-R,R32
NISSAN,^SKYLINE.*GT-?R,1995,1998,SKYLINE GT-R,R33
NISSAN,^SKYLINE.*GT-?R,1999,2002,SKYLINE GT-R,R34
NISSAN,^SKYLINE(?!.*GT-?R),,,SKYLINE,
NISSAN,^GT-?R\b,,,GT-R,R35
NISSAN,^300 ?ZX,,,300ZX,Z32
NISSAN,^350 ?Z,,,350Z,Z33
NISSAN,^370 ?Z,,,370Z,Z34
NISSAN,^200 ?SX,1988,1993,200SX,S13
NISSAN,^200 ?SX,1994,1999,200SX,S14
NISSAN,^SUNNY.*GTI-?R,,,SUNNY GTI-R,N14
NISSAN,^SUNNY(?!.*GTI-?R),,,SUNNY,
NISSAN,^(MICRA|QASHQAI|JUKE|NOTE|PRIMERA|ALMERA|X-?TRAIL|PULSAR|LEAF|NAVARA|PATHFINDER|TERRANO|PATROL|MURANO|SERENA|TIIDA|PIXO|CUBE|BLUEBIRD|PRAIRIE|MAXIMA|100 ?NX|TINO|ARIYA|KUBISTAR|PRIMASTAR|INTERSTAR|NV[0-9]|E-?NV|CABSTAR|VANETTE|ELGRAND|FIGARO|SILVIA|180 ?SX|CEFIRO|LAUREL|STAGEA|CIMA|PAO|S-?CARGO),,,OTHER,
OPEL,^CALIBRA,,,CALIBRA,A
OPEL,^ASTRA.*(GSI|GTE|OPC|VXR),1991,1997,ASTRA OPC,F
OPEL,^ASTRA.*(GSI|GTE|OPC|VXR),1998,2004,ASTRA OPC,G
OPEL,^ASTRA.*(GSI|GTE|OPC|VXR),2005,2010,ASTRA OPC,H
OPEL,^ASTRA.*(GSI|GTE|OPC|VXR),2012,2015,ASTRA OPC,J
OPEL,^ASTRA(?!.*(GSI|GTE|OPC|VXR)),,,ASTRA,
OPEL,^CORSA.*(GSI|OPC|VXR),2007,2014,CORSA VXR,D
OPEL,^CORSA.*(GSI|OPC|VXR),2015,2018,CORSA VXR,E
OPEL,^CORSA(?!.*(GSI|OPC|VXR)),,,CORSA,
OPEL,^VX ?220|^SPEEDSTER,,,VX220,VX220
OPEL,^MONARO|^VXR ?8,,,MONARO,V2
OPEL,LOTUS.*(CARLTON|OMEGA)|(CARLTON|OMEGA).*LOTUS,,,LOTUS CARLTON,A
OPEL,^CARLTON(?!.*LOTUS),,,CARLTON,
OPEL,^OMEGA(?!.*LOTUS),,,OMEGA,
OPEL,^(VECTRA|ZAFIRA|INSIGNIA|MERIVA|AGILA|TIGRA|MOKKA|ADAM|ANTARA|CAVALIER|NOVA|FRONTERA|VIVARO|MOVANO|COMBO|SIGNUM|AMPERA|KARL|VIVA|CROSSLAND|GRANDLAND|KADETT|ASCONA|MANTA|SENATOR|MONTEREY|SINTRA|BELMONT|CHEVETTE|CORSAVAN|ASTRAVAN|BRAVA|RASCAL|ARENA),,,OTHER,
PEUGEOT,^205.*(GTI|CTI|RALLYE),,,205 GTI,MK1
PEUGEOT,^205(?!.*(GTI|CTI|RALLYE)),,,205,
PEUGEOT,^309.*GTI,,,309 GTI,MK1
PEUGEOT,^309(?!.*GTI),,,309,
PEUGEOT,^106.*(RALLYE|GTI|XSI|S16),1991,1996,106 RALLYE,S1
PEUGEOT,^106.*(RALLYE|GTI|XSI|S16),1997,2003,106 RALLYE,S2
PEUGEOT,^106(?!.*(RALLYE|GTI|XSI|S16)),,,106,
PEUGEOT,^306.*(S16|XSI),,,306 S16,MK1
PEUGEOT,^306.*(GTI|RALLYE),,,306 GTI-6,MK2
PEUGEOT,^306(?!.*(S16|XSI|GTI|RALLYE)),,,306,
PEUGEOT,^206.*(GTI|RC\b),,,206 GTI,MK1
PEUGEOT,^206(?!.*(GTI|RC\b)),,,206,
PEUGEOT,^406.*COUPE,,,406 COUPE,MK1
PEUGEOT,^406(?!.*COUPE),,,406,
PEUGEOT,^RCZ,,,RCZ,MK1
PEUGEOT,^208.*GTI,,,208 GTI,MK1
PEUGEOT,^208(?!.*GTI),,,208,
PEUGEOT,^(107|108|207|307|308|405|407|508|605|607|806|807|1007|2008|3008|4007|4008|5008|PARTNER|EXPERT|BIPPER|BOXER|ION|RIFTER|TRAVELLER|301|104|305|505|604|E-?208|E-?2008),,,OTHER,
PORSCHE,^CARRERA ?GT\b,,,CARRERA GT,980
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,1974,1988,911,G
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,1989,1994,911,964
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,1995,1998,911,993
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,1999,2004,911,996
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,2005,2012,911,997
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,2013,2019,911,991
PORSCHE,^911|^CARRERA(?! ?GT\b)|^TURBO\b|^GT[23]\b|^TARGA,2020,2025,911,992
PORSCHE,^928,,,928,928
PORSCHE,^944,,,944,944
PORSCHE,^968,,,968,968
PORSCHE,^(718 )?BOXSTER,1996,2004,BOXSTER,986
PORSCHE,^(718 )?BOXSTER,2005,2012,BOXSTER,987
PORSCHE,^(718 )?BOXSTER,2013,2016,BOXSTER,981
PORSCHE,^(718 )?BOXSTER,2017,2025,BOXSTER,982
PORSCHE,^(718 )?CAYMAN,2006,2012,CAYMAN,987
PORSCHE,^(718 )?CAYMAN,2013,2016,CAYMAN,981
